"district","total_population","hospital_count","hospitals_per_lakh","people_per_hospital"
"Jaipur","6626178","913","13.78","7257.59"
"Kota","1951014","210","10.76","9290.54"
"Ganganagar","1969168","185","9.39","10644.15"
"Hanumangarh","1774692","124","6.99","14312.03"
"Sikar","2677333","186","6.95","14394.26"
"Jhunjhunun","2137045","142","6.64","15049.61"
"Alwar","3674179","239","6.50","15373.13"
"Sirohi","1036346","67","6.47","15467.85"
"Udaipur","3068420","188","6.13","16321.38"
"Bhilwara","2408523","132","5.48","18246.39"
"Ajmer","2583052","134","5.19","19276.51"
"Sawai Madhopur","1335551","69","5.17","19355.81"
"Churu","2039547","105","5.15","19424.26"
"Pali","2037573","104","5.10","19592.05"
"Dausa","1634409","82","5.02","19931.82"
"Chittaurgarh","1544338","70","4.53","22061.97"
"Baran","1222755","55","4.50","22231.91"
"Bikaner","2363937","106","4.48","22301.29"
"Jodhpur","3687165","162","4.39","22760.28"
"Tonk","1421326","59","4.15","24090.27"
"Bundi","1110906","46","4.14","24150.13"
"Jaisalmer","669919","27","4.03","24811.81"
"Rajsamand","1156597","46","3.98","25143.41"
"Nagaur","3307743","131","3.96","25249.95"
"Dungarpur","1388552","55","3.96","25246.40"
"Bharatpur","2548462","92","3.61","27700.67"
"Jhalawar","1411129","48","3.40","29398.52"
"Dhaulpur","1206516","40","3.32","30162.90"
"Karauli","1458248","48","3.29","30380.17"
"Barmer","2603751","79","3.03","32958.87"
"Banswara","1797485","47","2.61","38244.36"
"Jalor","1828730","43","2.35","42528.60"
"Pratapgarh","867848","11","1.27","78895.27"
