"name","addr:district","longitude","latitude"
"Rajasthan Eye Hospital","Pali","73.088047","25.147174299999996"
"Railway Hospital",NULL,"75.78665880000001","26.916252600000004"
"Kcc Hospital","Jhunjhunu","75.823946","28.0767135"
"State Govt Hospital","Tonk","75.9263822","26.357466900000002"
"Government Hospital, Kelwa","Rajsamand","73.8457703","25.148521199999998"
"Government Hospital, Chandpur","Alwar","76.500518","27.894152699999996"
"Government Hospital, Baseri","Dhaulpur","77.5416301","26.748490000000004"
"Ganpati Clinic","Jodhpur","72.9620167","26.2263767"
"Dr. Malviya Child Care","Sirohi","72.8541467","24.8790213"
"Maternal and Child Hospital","Bundi","75.645079","25.440784000000004"
"jai shree krishna hospital",NULL,"73.7459361","25.862435399999995"
"Mangalam Hospital","Jaipur","75.8339104","26.898853099999997"
"Cure Life Clinic","Jaipur","75.8880949","26.867528799999995"
"Rukmani Devi Memorial Hospital","Jaipur","75.6348612","26.7954924"
"Government Hospital, Mainpur","Alwar","76.5157444","27.84768"
"Mahatma Gandhi Hospital",NULL,"73.0185635","26.2831291"
"Sharda nurshing home",NULL,"73.20581310000001","29.191964899999995"
NULL,NULL,"73.4899788","26.9085163"
"Sparsh Hospital",NULL,"75.7798425","26.822583299999994"
"Dr. Jain Eye Hospital","Banswara","74.4377348","23.541432899999993"
"ENT CLINIC BY Dr. HARI SINGH",NULL,"75.1845878","27.6285316"
NULL,NULL,"76.7335491","26.482491399999997"
"D D Netra Sansthan","Kota","75.9273452","25.173507099999995"
"Das Clinic","Chittorgarh","74.4494764","24.734142499999994"
"Sardar Ali Clinic","Bhilwara","74.9202988","25.6222126"
"Pratap Clinic","Kota","75.8473451","25.192432"
"Deepak Clinic","Kota","75.950972","24.649782000000002"
"Archana Hospital",NULL,"75.7360517","26.957972100000003"
"Rajesh Hospital","Alwar","76.605236","27.557068999999995"
"MAXX Hospital",NULL,"75.7352074","26.945078199999994"
"Banwari lal child hospital",NULL,"74.4962829","28.442252999999997"
"Alok Eye Hospital","Udaipur","73.6914732","24.586029899999996"
"MEDICAL STORE",NULL,"74.6745634","27.5326053"
"Nihit Hospital","Sikar","75.1505372","27.604741499999996"
NULL,NULL,"73.9061287","25.034451299999997"
"Agrasen Hospital","Jaipur","75.764979","26.886206999999995"
NULL,NULL,"75.7847666","26.8851533"
"Shyama Devi Memorial Hospital","Dausa","76.3379967","26.899996400000003"
"Med-C",NULL,"75.59015","28.357715899999995"
"Government Hospital, Ghyangarh","Bhilwara","74.1490677","25.656639300000002"
"Pacific Medical College and Hospital",NULL,"73.7027613","24.668882900000003"
"Government Hospital Taranagar","Churu","75.041644","28.668634000000004"
"Government Hospital Umand","Chittaurgarh","74.3088","24.770855999999995"
"Kanod Government Hospital","Barmer","71.7866","26.083579999999994"
"Sihag Hospital","Jhunjhunu","75.6052343","28.359823099999996"
"Child Hospital","Jhunjhunu","75.6482938","28.226404"
"Doon Clinic Centre","Nagaur","75.0038219","27.026263800000002"
"Khan Clinic","Pali","73.3570449","25.782119100000003"
"Dr. Saxena's Clinic","Udaipur","73.6898502","24.5409947"
"Vikas Clinic","Bhilwara","74.6399388","25.8984799"
"Panwar Clinic","Jaipur","75.8654685","26.799734299999997"
"Dr. Narendra Joshi","Jaipur","75.7453123","26.8945042"
NULL,NULL,"74.5048016","28.444101999999994"
"MNIT college Dispensary",NULL,"75.812195","26.862189399999995"
"GURUKRIPA HOSPITAL",NULL,"75.1604992","27.6225599"
"Dr. Babita Kulhari",NULL,"74.963449","28.2931521"
"K.D.M. Hospital","Jhunjhunu","75.6555728","28.25834529999999"
"Aditya Clinic","Jodhpur","73.1041021","26.314964399999997"
"Malav Clinic","Pali","73.6192966","25.723707599999997"
"Saubhagya Homeo Clinic","Jaipur","75.799845","26.811641999999996"
"Dhiraj Clinic","Jaipur","75.7656698","26.819463299999992"
"Kota Eye Hospital and Research Foundation","Kota","75.8306998","25.1655023"
"Government Hospital, Marol","Sirohi","72.5207023","24.574583700000005"
"Government Hospital, Ajari","Sirohi","73.042567","24.761761199999988"
"Government Hospital, Margriwada","Sirohi","72.4475665","24.586153099999997"
"Government Hospital, Sanwara","Sirohi","72.6921357","24.729128999999997"
"Government Hospital, Mandwara Khalsa","Sirohi","72.8783203","24.728316499999995"
"Government Hospital, Sawali","Sirohi","72.7835266","25.0631467"
"Government Hospital, Nimbaj","Sirohi","72.4428063","24.731853299999997"
"Government Hospital, Sanwaloda Purohitan","Sikar","74.9956222","27.6937242"
"Government Hospital, Jeelo","Sikar","75.9090686","27.847735699999998"
"Government Hospital, Bosana","Sikar","74.9480767","27.454563199999996"
"Choudhary Maternity Hospital","Sri Ganganagar","73.8856556","29.9080451"
"Gupta Homeo Clinic","Sri Ganganagar","73.4567119","29.841966000000003"
"Nai Disha Homeopathy Clinic","Sri Ganganagar","73.0751296","29.024795899999997"
"Rohtak Hospital","Sri Ganganagar","74.1752558","29.90872269999999"
"Ranwa Ortho Hospital","Sri Ganganagar","73.8671376","29.922029200000008"
"Sharma Clinic","Sri Ganganagar","73.8575067","29.921538700000006"
"Dr. Devender Grover","Sri Ganganagar","73.8776911","29.902531799999995"
"Orbit Hospital","Sri Ganganagar","73.903211","29.319572999999988"
"Shri Balaji Hospital","Sri Ganganagar","73.8760478","29.9036439"
"Angel Hospital","Sri Ganganagar","73.8757374","29.901527600000005"
"Saraswat Multispeciality Clinic","Sri Ganganagar","73.8910433","29.920959200000006"
"Dr. S.D. Sood Eye Hospital","Sri Ganganagar","73.8707673","29.929868300000003"
"Ranwa Hospital","Sri Ganganagar","73.866466","29.920441000000004"
"Jyoti Clinic","Sri Ganganagar","73.8579882","29.927782000000004"
"Sant Shah Mastana Dharmarth Hospital","Sri Ganganagar","73.4264554","29.5439633"
"Nayan Mandir Eye Hospital","Sri Ganganagar","73.887484","29.913526"
"Agarwal Nursing Home","Sri Ganganagar","73.4473263","29.5389507"
"Singhmar Hospital","Sri Ganganagar","73.9311803","29.868578499999995"
"Dr. Dinesh Bhatdwaj","Sri Ganganagar","73.6335467","29.705231"
NULL,NULL,"75.7689881","26.814414599999992"
"Shekhawat ENT Hospital","Sri Ganganagar","73.90094650000002","29.3188412"
"Dr. Kuldeep's Clinic","Sri Ganganagar","73.45863100000001","29.249323399999998"
"Medanta S.N. Superspeciality Hospital","Sri Ganganagar","73.906099","29.8881062"
"Maharaja Agarsen General Hospital","Sri Ganganagar","73.890115","29.912891"
"Santosh Hospital","Sri Ganganagar","73.8908258","29.91587080000001"
"Verma Hospital","Sri Ganganagar","74.1752248","29.90676089999999"
"Dr. Mani Ram Swami Memorial Hospital","Sri Ganganagar","73.8986535","29.317376200000005"
"Dr. Parveen Bishnoi","Sri Ganganagar","73.8956803","29.917794"
"Swami Hospital","Hanumangarh","74.7656904","29.175961500000003"
"Dr. Sandeep Sihag","Hanumangarh","74.3351877","29.576338599999996"
"Nagpal Eye and ENT Hospital","Hanumangarh","74.290898","29.605957000000004"
"Vardhman Eye Hospital","Hanumangarh","74.4591842","29.76643990000001"
"Minakshi Hospital and Maternity Centre","Hanumangarh","74.2858153","29.614414399999994"
"Dr. Gopal Godara Surgical and Maternity Hospital","Hanumangarh","74.7728352","29.18825809999999"
"Balaji Hospital","Hanumangarh","75.16079560000001","29.1042737"
"Safe Care Hospital","Hanumangarh","74.4061165","29.271512600000005"
"Dhingra Hospital","Hanumangarh","74.297091","29.609867999999995"
"Max Hospital","Hanumangarh","75.170018","29.106478399999993"
