"hospital_name","district","nearest_nh","distance_meters"
"A K Hospital","Ajmer","Ajmer Beawer Udaipur road","288.04"
"Aadinath Cancer Medicity Hospital Ajmer","Ajmer","Ajmer Pushkar Bikaner road","3293.94"
"Adarsh Hospital & Diabeties Care Centre","Ajmer","Ajmer Beawer Udaipur road","780.96"
"Ajmer E.N.T. Hospital","Ajmer","Link Road to Bandiya ki Dhani","2411.84"
"Ajmer Hospital","Ajmer","Link Road to Bandiya ki Dhani","822.06"
"Amrit Ayurved Panchakarma Hospital & Research Centre","Ajmer","Link Road to Bandiya ki Dhani","477.59"
"Anand Clinic and Diagnostic Centre","Ajmer","Ajmer Beawer Udaipur road","514.66"
"Anand Multispeciality Hospital & Research Centre","Ajmer","Beawar Bar Pali road","33.10"
"Ayurved Hospital","Ajmer","AJMER CHHITORGARH ROAD","1908.05"
"Bachpan Hospital","Ajmer","Link Road to Bandiya ki Dhani","261.76"
"Bharat Hospital","Ajmer","Link Road to Bandiya ki Dhani","1082.75"
"Bhargavi Nursing Home","Ajmer","Ajmer Beawar Udaipur Road","3221.41"
"City Hospital","Ajmer","Link Road to Bandiya ki Dhani","1043.83"
"CRPF Composite Hospital","Ajmer","Link Road to Bandiya ki Dhani","1824.21"
"Deepmala Pagarani Hospital and Research Centre","Ajmer","Ajmer Beawar Udaipur Road","1679.97"
"Dental Hospital","Ajmer","AJMER CHHITORGARH ROAD","1814.17"
"Dhapi Bai Ramniwas Heda Hospital","Ajmer","Ajmer Beawer Udaipur road","393.17"
"Dr. Khunger Eye Care and Research Centre Pvt Ltd","Ajmer","Ajmer Beawar Udaipur Road","3351.12"
"Dr. Nandlal Hospital and Research Centre","Ajmer","Link Road to Bandiya ki Dhani","3081.53"
"Dr. Pradeep Jain","Ajmer","Link Road to Bandiya ki Dhani","2612.08"
"Dr. R K Endocrine Centre","Ajmer","Ajmer Beawar Udaipur Road","3361.71"
"Dr. Vijay ENT Hospital","Ajmer","Link Road to Bandiya ki Dhani","3644.90"
