"hospital_name","district","nearest_sh","distance_meters"
"A K Hospital","Ajmer","Beawar Bijaynagar road upto Ras Babra","342.31"
"Aadinath Cancer Medicity Hospital Ajmer","Ajmer","Sawarda NH-08 to Ajmer","628.97"
"Adarsh Hospital & Diabeties Care Centre","Ajmer","Beawar Masuda road","325.16"
"Ajmer E.N.T. Hospital","Ajmer","Ajmer-Pushkar Ghati Road","141.60"
"Ajmer Hospital","Ajmer","Sawarda NH-08 to Ajmer","22.11"
"Amrit Ayurved Panchakarma Hospital & Research Centre","Ajmer","Sawarda NH-08 to Ajmer","155.39"
"Anand Clinic and Diagnostic Centre","Ajmer","Beawar Masuda road","493.45"
"Anand Multispeciality Hospital & Research Centre","Ajmer","Beawar Masuda road","2266.59"
"Ayurved Hospital","Ajmer","Nasirabad Mangliawas Pisangan Padukalan","646.33"
"Bachpan Hospital","Ajmer","Sawarda NH-08 to Ajmer","21.49"
"Bharat Hospital","Ajmer","Sawarda NH-08 to Ajmer","40.80"
"Bhargavi Nursing Home","Ajmer","Sawarda NH-08 to Ajmer","2233.88"
"City Hospital","Ajmer","Sawarda NH-08 to Ajmer","231.73"
"CRPF Composite Hospital","Ajmer","Ajmer-Srinagar-Arain-Malpura","890.89"
"Deepmala Pagarani Hospital and Research Centre","Ajmer","Sawarda NH-08 to Ajmer","290.66"
"Dental Hospital","Ajmer","Nasirabad Mangliawas Pisangan Padukalan","501.05"
"Dev Clinic","Ajmer","Nasirabad Deoli road","66.85"
"Dhapi Bai Ramniwas Heda Hospital","Ajmer","Beawar Masuda road","530.07"
"Dr. Khunger Eye Care and Research Centre Pvt Ltd","Ajmer","Sawarda NH-08 to Ajmer","1112.93"
"Dr. Mathur Homeopathic Clinic","Ajmer","Sanganer to malpura juniya kekri","380.89"
"Dr. Nandlal Hospital and Research Centre","Ajmer","Ajmer-Pushkar Ghati Road","1628.23"
"Dr. Pradeep Jain","Ajmer","Ajmer-Pushkar Ghati Road","518.80"
"Dr. R K Endocrine Centre","Ajmer","Sawarda NH-08 to Ajmer","1071.14"
"Dr. Ramlal Gurjar Clinical","Ajmer","Nasirabad Deoli road","855.83"
"Dr. Vijay ENT Hospital","Ajmer","Sawarda NH-08 to Ajmer","2183.74"
"Dr. Vinay Kapoor","Ajmer","Nasirabad Mangliawas Pisangan Padukalan","453.63"
"Dr.Kshetrapal Eye Hospital and Lasik Laser Centre","Ajmer","Sawarda NH-08 to Ajmer","498.38"
"Dr.Maurya Eye Hospital","Ajmer","Beawar Masuda road","1584.91"
"Dubey Clinic","Ajmer","Sawarda NH-08 to Ajmer","452.75"
"Getwell Hospital & Maternity Home","Ajmer","Sawarda NH-08 to Ajmer","1406.08"
"Government Ayurved Hospital","Ajmer","Beawar Masuda road","17.94"
"Government Hospital","Ajmer","Sanganer to malpura juniya kekri","34.30"
"Government Hospital Bijainagar","Ajmer","Satoor NagourBijaynagar Merta city road   Beawer bijainagar","39.80"
"Government Hospital Nasirabad","Ajmer","Nasirabad Mangliawas Pisangan Padukalan","511.11"
"Government Hospital Ramgarh","Ajmer","Satoor NagourBijaynagar Merta city road   Beawer bijainagar","39.36"
"Government Hospital Sarwar","Ajmer","Nasirabad Deoli road","1162.50"
